ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
V06,合興,Hexing,"21,064","24,109","45,173",124.0,Point (265628.46499999985098839 2734402.2369999997317791),新竹縣橫山鄉中山街一段17號,265628.46499999985,2734402.2369999997,24.716646628835107,121.15447674841742
M06,吉安,Ji'an,"206,711","205,309","412,020",1129.0,Point (309289.01630000089062378 2651618.71790000097826123),花蓮縣吉安鄉南昌街200號,309289.0163000009,2651618.717900001,23.968153882892565,121.58259109416542
T09,后里,Houli,"857,347","861,123","1,718,470",4708.0,Point (222909.43549999935203232 2689302.09590000007301569),臺中市后里區甲后路一段1號,222909.43549999935,2689302.0959,24.30928384287486,120.73309055762212
I09,和仁,Heren,"19,965","20,755","40,720",112.0,Point (322288.52369999949587509 2682027.26369999907910824),花蓮縣秀林鄉和仁路71號,322288.5236999995,2682027.263699999,24.242167234253788,121.71183716948903
I08,和平,Heping,"261,326","263,207","524,533",1437.0,Point (326468.98629999934928492 2688264.24570000031962991),花蓮縣秀林鄉和平村276號,326468.98629999935,2688264.2457000003,24.29827955779212,121.75333209366205
A51,員林,Yuanlin,"2,723,078","2,772,236","5,495,314",15056.0,Point (206211.39030000008642673 2650589.53500000014901161),彰化縣員林市民權街55號,206211.3903000001,2650589.535,23.95936357165714,120.56974730600174
A74,善化,Shanhua,"1,231,684","1,234,741","2,466,425",6757.0,Point (178968.67690000054426491 2559218.43709999974817038),臺南市善化區中山路1號,178968.67690000054,2559218.4370999997,23.133350361587883,120.30642311629518
A624,嘉北,Jiabei,"266,929","274,089","541,018",1482.0,Point (193656.72250000038184226 2599733.7786999992094934),嘉義市東區保建街110號,193656.72250000038,2599733.778699999,23.49976763666074,120.44832930644318
A63,嘉義,Chiayi,"3,624,532","3,613,488","7,238,020",19830.0,Point (192917.81409999969764613 2597447.29149999981746078),嘉義市西區中山路528號,192917.8140999997,2597447.2915,23.479095459779984,120.44118177012598
E18,四城,Sicheng,"49,622","47,639","97,261",266.0,Point (327121.20000000018626451 2742381.15699999965727329),宜蘭縣礁溪鄉吳沙村站前路24號,327121.2000000002,2742381.1569999997,24.786822247598952,121.76270470462411
E02,四腳亭,Sijiaoting,"274,033","263,900","537,933",1474.0,Point (326845.54899999964982271 2777379.04499999992549419),新北市瑞芳區吉慶里中央路65號,326845.54899999965,2777379.045,25.10278478222211,121.76191992920084
A21,埔心,Puxin,"2,207,548","2,168,636","4,376,184",11990.0,Point (268554.86500000022351742 2756871.78600000031292439),桃園市楊梅區埔心里永美路208號,268554.8650000002,2756871.7860000003,24.919481643039724,121.18370100240284
A01,基隆,Keelung,"3,513,094","3,301,746","6,814,840",18671.0,Point (324464.74700000043958426 2780588.14420000091195107),,324464.74700000044,2780588.144200001,25.13187426490269,121.73849004207077
M10,壽豐,Shoufeng,"127,513","127,525","255,038",699.0,Point (302043.28870000026654452 2640649.60889999940991402),花蓮縣壽豐鄉壽山路1號,302043.28870000027,2640649.6088999994,23.86936410215459,121.51100507927181
E14,外澳,Wai'ao,"44,585","43,238","87,823",241.0,Point (335467.26499999966472387 2753181.62900000065565109),宜蘭縣頭城鎮外澳里濱海路二段217號,335467.26499999966,2753181.6290000007,24.883881258234446,121.84590029699997
M19,大富,Dafu,"2,478","2,344","4,822",13.0,Point (289758.35790000093402341 2611406.21549999993294477),花蓮縣光復鄉明德路1號,289758.35790000093,2611406.2155,23.605658839642135,121.3895977784519
A34,大山,Dashan,"29,790","31,200","60,990",167.0,Point (230136.91000000014901161 2726546.93999999947845936),苗栗縣後龍鎮大山里明山路180號,230136.91000000015,2726546.9399999995,24.6456744529903,120.80377807105188
T121,大慶,Daqing,"1,206,961","1,146,686","2,353,647",6448.0,Point (214292.95270000054733828 2668285.24690000060945749),臺中市南區大慶街二段130號,214292.95270000055,2668285.2469000006,24.119346544837377,120.64871856977517
A504,大村,Dacun,"308,669","319,175","627,844",1720.0,Point (205296.42709999997168779 2653991.60610000044107437),彰化縣大村鄉過溝村福進路100號,205296.42709999997,2653991.6061000004,23.99005657629125,120.56065322497233
A61,大林,Dalin,"619,610","612,216","1,231,826",3375.0,Point (194466.84769999934360385 2610952.36170000024139881),嘉義縣大林鎮中山路2號,194466.84769999934,2610952.3617000002,23.60109590292501,120.45584433573998
A764,大橋,Daqiao,"1,354,443","1,322,890","2,677,333",7335.0,Point (170491.40950000105658546 2546622.04109999816864729),臺南市永康區中華路835號,170491.40950000106,2546622.041099998,23.019221411763457,120.22430606738573
J08,大武,Dawu,"75,480","74,140","149,620",410.0,Point (239786.61809999917750247 2473994.43930000020191073),臺東縣大武鄉大鳥村和平部落33號,239786.61809999918,2473994.4393,22.365185754896476,120.90082690872502
A82,大湖,Dahu,"619,099","587,537","1,206,636",3306.0,Point (173455.48390000022482127 2530989.54189999867230654),高雄市路竹區天祐路24號,173455.48390000022,2530989.5418999987,22.87819861457469,120.2539962005827
E12,大溪,Daxi,"75,061","70,779","145,840",400.0,Point (339865.51499999966472387 2759246.1830000001937151),宜蘭縣頭城鎮大溪里濱海路五段63號,339865.51499999966,2759246.183,24.93837537213763,121.8898199649237
A42,大甲,Dajia,"1,086,687","1,092,627","2,179,314",5971.0,Point (212159.3188000004447531 2693216.32399999862536788),臺中市大甲區中山路一段828號,212159.31880000044,2693216.3239999986,24.34440233424803,120.62707327457628
A47,大肚,Dadu,"279,725","277,914","557,639",1528.0,Point (203506.79090000066207722 2672165.03149999957531691),臺中市大肚區平和街121號,203506.79090000066,2672165.0314999996,24.154096761845476,120.54248337496509
N01,大華,Dahua,"6,507","5,299","11,806",32.0,Point (330478.13700000010430813 2771532.79700000025331974),新北市平溪區六分路12之1號,330478.1370000001,2771532.7970000003,25.049818910833228,121.7975921857905
E11,大里,Dali,"88,343","59,845","148,188",406.0,Point (343146.79999999981373549 2762409.59100000001490116),宜蘭縣頭城鎮大里里濱海路六段326號,343146.7999999998,2762409.591,24.966734770955554,121.92251971079617
T114,太原,Taiyuan,"860,762","848,677","1,709,439",4683.0,Point (219511.16089999978430569 2673260.25730000017210841),臺中市北屯區東光路665號,219511.16089999978,2673260.2573,24.16437675985073,120.69994921695002
J14,太麻里,Taimali,"63,397","62,879","126,276",346.0,Point (250510.86790000094333664 2502077.40049999859184027),臺東縣太麻里鄉站前路2號,250510.86790000094,2502077.4004999986,22.61884200332119,121.00496963603622
E19,宜蘭,Yilan,"1,460,679","1,457,715","2,918,394",7996.0,Point (326666.8619999997317791 2738812.06599999964237213),宜蘭縣宜蘭市和睦里光復路1號,326666.86199999973,2738812.0659999996,24.75462379698056,121.75801609712366
A24,富岡,Fugang,"667,014","661,786","1,328,800",3641.0,Point (258391.27599999960511923 2758512.31000000052154064),桃園市楊梅區富岡里成功路37號,258391.2759999996,2758512.3100000005,24.934383062453012,121.08308723808585
M20,富源,Fuyuan,"13,972","14,544","28,516",78.0,Point (288799.18550000007962808 2608596.26429999945685267),花蓮縣瑞穗鄉富源路2號,288799.1855000001,2608596.2642999995,23.580308688006006,121.38012575976983
V07,富貴,Fugui,"3,916","28,377","32,293",88.0,Point (266937.7630000002682209 2734277.63900000043213367),新竹縣橫山鄉(無站房),266937.76300000027,2734277.6390000004,24.7155077877223,121.16741672234645
M33,富里,Fuli,"65,195","65,279","130,474",357.0,Point (275451.12890000076731667 2564138.69210000056773424),花蓮縣富里鄉街56號,275451.12890000077,2564138.6921000006,23.179112108895225,121.2486026230115
P05,屏東,Pingtung,"3,873,061","3,921,211","7,794,272",21354.0,Point (197202.89750000083586201 2507709.82430000090971589),屏東縣屏東市公勇路62號,197202.89750000084,2507709.824300001,22.66888533290774,120.48621754189773
A16,山佳,Shanjia,"628,134","616,802","1,244,936",3411.0,Point (289636.25999999977648258 2762808.98000000044703484),新北市樹林區中山里中山路三段108號,289636.2599999998,2762808.9800000004,24.972680846058378,121.39258275351288
