ID,Name,English,On,Off,Total,Daily
J14,太麻里,Taimali,"63,397","62,879","126,276",346
J16,知本,Zhiben,"246,509","244,211","490,720",1344
J17,康樂,Kangle,"6,836","6,659","13,495",37
M01,花蓮港,HualienPort,0,0,0,0
M06,吉安,Ji'an,"206,711","205,309","412,020",1129
M08,志學,Zhixue,"130,693","123,805","254,498",697
M09,平和,Pinghe,"3,330","4,079","7,409",20
M10,壽豐,Shoufeng,"127,513","127,525","255,038",699
M11,豐田,Fengtian,"16,473","14,850","31,323",86
M13,林榮新光,LinrongShinKong,"10,267","10,669","20,936",57
M14,南平,Nanping,"7,481","7,069","14,550",40
M15,鳳林,Fenglin,"132,769","130,181","262,950",720
M16,萬榮,Wanrong,"15,785","15,793","31,578",87
M17,光復,Guangfu,"176,071","173,345","349,416",957
M19,大富,Dafu,"2,478","2,344","4,822",13
M20,富源,Fuyuan,"13,972","14,544","28,516",78
M22,瑞穗,Ruisui,"231,449","231,344","462,793",1268
M24,三民,Sanmin,"3,784","4,432","8,216",23
M26,玉里,Yuli,"477,886","476,721","954,607",2615
M29,東里,Dongli,"4,549","4,109","8,658",24
M31,東竹,Dongzhu,"3,359","3,062","6,421",18
M33,富里,Fuli,"65,195","65,279","130,474",357
M36,池上,Chishang,"212,697","213,850","426,547",1169
M37,海端,Haiduan,"3,022","3,100","6,122",17
M39,關山,Guanshan,"201,149","194,905","396,054",1085
M41,瑞和,Ruihe,"3,113","2,549","5,662",16
M42,瑞源,Ruiyuan,"14,639","14,444","29,083",80
M43,鹿野,Luye,"73,666","72,074","145,740",399
M45,山里,Shanli,"2,877","2,775","5,652",15
M47,臺東,Taitung,"1,748,910","1,772,345","3,521,255",9647
N01,大華,Dahua,"6,507","5,299","11,806",32
N02,十分,Shifen,"477,697","466,316","944,013",2586
N021,望古,Wanggu,"8,247","11,364","19,611",54
N03,嶺腳,Lingjiao,"12,386","10,493","22,879",63
N04,平溪,Pingxi,"93,370","95,133","188,503",516
N05,菁桐,Jingtong,"95,157","87,829","182,986",501
P002,民族,Minzu,"338,659","340,378","679,037",1860
P004,科工館,ScienceandTechnologyMuseum,"650,658","637,086","1,287,744",3528
P006,正義,Zhengyi,"509,351","497,532","1,006,883",2759
P01,鳳山,Fengshan,"2,022,651","1,996,050","4,018,701",11010
P02,後庄,Houzhuang,"247,788","245,124","492,912",1350
P03,九曲堂,Jiuqutang,"457,867","458,248","916,115",2510
P04,六塊厝,Liukuaicuo,"58,866","60,453","119,319",327
P05,屏東,Pingtung,"3,873,061","3,921,211","7,794,272",21354
P06,歸來,Guilai,"104,369","102,609","206,978",567
P07,麟洛,Linluo,"77,961","75,826","153,787",421
P08,西勢,Xishi,"344,600","331,703","676,303",1853
P09,竹田,Zhutian,"108,021","106,983","215,004",589
P10,潮州,Chaozhou,"1,466,333","1,471,940","2,938,273",8050
P11,崁頂,Kanding,"64,088","54,033","118,121",324
P12,南州,Nanzhou,"197,626","193,382","391,008",1071
P13,鎮安,Zhen'an,"12,421","12,060","24,481",67
P14,林邊,Linbian,"190,420","189,660","380,080",1041
P15,佳冬,Jiadong,"64,845","63,715","128,560",352
P16,東海,Donghai,"27,088","53,564","80,652",221
P18,枋寮,Fangliao,"424,731","401,572","826,303",2264
R01,海科館,Haikeguan,"48,314","62,929","111,243",305
R014,八斗子,Badouzi,"21,698","25,141","46,839",128
T01,造橋,Zaoqiao,"135,893","133,381","269,274",738
T02,豐富,Fengfu,"373,746","366,349","740,095",2028
T03,苗栗,Miaoli,"2,042,235","2,020,383","4,062,618",11130
T04,南勢,Nanshi,"55,147","53,601","108,748",298
T05,銅鑼,Tongluo,"354,512","354,724","709,236",1943
T06,三義,Sanyi,"272,890","276,788","549,678",1506
T08,泰安,Tai'an,"204,641","206,717","411,358",1127
T09,后里,Houli,"857,347","861,123","1,718,470",4708
T10,豐原,Fengyuan,"2,837,052","2,922,892","5,759,944",15781
T104,栗林,Lilin,"370,688","349,447","720,135",1973
T11,潭子,Tanzi,"907,492","908,259","1,815,751",4975
T112,頭家厝,Toujiacuo,"261,268","258,922","520,190",1425
T113,松竹,Songzhu,"1,015,489","1,025,131","2,040,620",5591
T114,太原,Taiyuan,"860,762","848,677","1,709,439",4683
T116,精武,Jingwu,"543,259","534,911","1,078,170",2954
T12,臺中,Taichung,"9,213,171","9,107,705","18,320,876",50194
T121,大慶,Daqing,"1,206,961","1,146,686","2,353,647",6448
T122,五權,Wuquan,"710,553","718,545","1,429,098",3915
T13,烏日,Wuri,"249,902","257,011","506,913",1389
T134,新烏日,Xinwuri,"3,117,915","2,950,775","6,068,690",16627
T14,成功,Chenggong,"241,813","418,881","660,694",1810
V00,千甲,Qianjia,"116,765","113,984","230,749",632
V004,新莊,Xinzhuang,"776,214","794,996","1,571,210",4305
V01,竹中,Zhuzhong,"301,731","313,541","615,272",1686
V012,六家,Liujia,"1,418,312","1,360,795","2,779,107",7614
V02,上員,Shangyuan,"26,575","26,980","53,555",147
V021,榮華,Ronghua,"85,571","59,069","144,640",396
V03,竹東,Zhudong,"212,022","207,697","419,719",1150
V04,橫山,Hengshan,"34,027","33,876","67,903",186
V05,九讚頭,Jiuzantou,"17,740","17,364","35,104",96
V06,合興,Hexing,"21,064","24,109","45,173",124
V07,富貴,Fugui,"3,916","28,377","32,293",88
V08,內灣,Neiwan,"163,979","163,622","327,601",898
